"ID","hr95","n","nbirds","boot"
"X93.2017",369.558838116454,110,1,1
"X93.2017",369.558838116454,105,1,1
"X21.2016",174.895215535856,100,2,1
"X93.2017",369.558838116454,100,2,1
"X17.2017",342.592592592593,95,3,1
"X21.2016",174.895215535856,95,3,1
"X93.2017",369.558838116454,95,3,1
"X17.2017",342.592592592593,90,3,1
"X21.2016",139.61973985998,90,3,1
"X93.2017",369.558838116454,90,3,1
"X17.2017",309.379700020341,85,4,1
"X21.2016",174.895215535856,85,4,1
"X5.2016",29.7662527037416,85,4,1
"X93.2017",369.558838116454,85,4,1
"X17.2017",309.379700020341,80,4,1
"X21.2016",172.438902866831,80,4,1
"X5.2016",26.8821474298337,80,4,1
"X93.2017",369.558838116454,80,4,1
"X17.2017",342.592592592593,75,4,1
"X21.2016",139.61973985998,75,4,1
"X5.2016",29.7662527037416,75,4,1
"X93.2017",369.558838116454,75,4,1
"X17.2017",195.135676157045,70,6,1
"X19.2017",63.8947255883044,70,6,1
"X21.2016",174.895215535856,70,6,1
"X5.2016",29.7662527037416,70,6,1
"X52.2017",2093.89012357737,70,6,1
"X93.2017",368.597696794955,70,6,1
"X17.2017",309.379700020341,65,8,1
"X19.2017",114.300486688523,65,8,1
"X21.2016",174.895215535856,65,8,1
"X22.2016",511.205259408587,65,8,1
"X24.2017",92.0222023825627,65,8,1
"X5.2016",29.7662527037416,65,8,1
"X52.2017",2093.89012357737,65,8,1
"X93.2017",368.597696794955,65,8,1
"X15.2016",65.6907358076658,60,12,1
"X17.2016",56.3170428123988,60,12,1
"X17.2017",308.044801558315,60,12,1
"X19.2017",114.300486688523,60,12,1
"X21.2016",174.895215535856,60,12,1
"X22.2016",436.523009577291,60,12,1
"X24.2017",92.0222023825627,60,12,1
"X32.2017",530.810717967815,60,12,1
"X36.2016",354.123392588894,60,12,1
"X5.2016",24.698685142215,60,12,1
"X52.2017",2093.89012357737,60,12,1
"X93.2017",368.597696794955,60,12,1
"X15.2016",65.6907358076658,55,18,1
"X15.2017",138.155588020453,55,18,1
"X17.2016",56.3170428123988,55,18,1
"X17.2017",219.739739672498,55,18,1
"X19.2016",86.5605545485425,55,18,1
"X19.2017",114.300486688523,55,18,1
"X21.2016",174.895215535856,55,18,1
"X22.2016",511.205259408587,55,18,1
"X22.2017",217.999621242864,55,18,1
"X24.2017",82.865888911935,55,18,1
"X32.2016",251.097784596588,55,18,1
"X32.2017",481.076071126328,55,18,1
"X36.2016",303.160117027003,55,18,1
"X5.2016",29.7662527037416,55,18,1
"X5.2017",304.707951194438,55,18,1
"X52.2017",2093.89012357737,55,18,1
"X6.2017",30.5366627724501,55,18,1
"X93.2017",368.597696794955,55,18,1
"X15.2016",63.1669381604458,50,20,1
"X15.2017",124.433632806097,50,20,1
"X17.2016",56.3170428123988,50,20,1
"X17.2017",342.592592592593,50,20,1
"X19.2016",86.5605545485425,50,20,1
"X19.2017",68.217361481379,50,20,1
"X21.2016",140.078416755093,50,20,1
"X21.2017",333.948142192717,50,20,1
"X22.2016",445.411189523545,50,20,1
"X22.2017",217.999621242864,50,20,1
"X24.2017",89.3929966002038,50,20,1
"X32.2016",251.097784596588,50,20,1
"X32.2017",530.810717967815,50,20,1
"X36.2016",352.695475683294,50,20,1
"X5.2016",29.7662527037416,50,20,1
"X5.2017",304.707951194438,50,20,1
"X52.2016",87.1535950706031,50,20,1
"X52.2017",1608.75446245558,50,20,1
"X6.2017",30.5366627724501,50,20,1
"X93.2017",287.38125512827,50,20,1
"X15.2016",65.6907358076658,45,20,1
"X15.2017",126.757082381314,45,20,1
"X17.2016",52.2754085416748,45,20,1
"X17.2017",241.76954728007,45,20,1
"X19.2016",86.5605545485425,45,20,1
"X19.2017",62.8035443163979,45,20,1
"X21.2016",55.5073241409578,45,20,1
"X21.2017",333.948142192717,45,20,1
"X22.2016",511.205259408587,45,20,1
"X22.2017",217.999621242864,45,20,1
"X24.2017",46.3219074878268,45,20,1
"X32.2016",251.097784596588,45,20,1
"X32.2017",357.688614637375,45,20,1
"X36.2016",336.114966370583,45,20,1
"X5.2016",18.9405421558329,45,20,1
"X5.2017",293.120277434592,45,20,1
"X52.2016",87.1535950706031,45,20,1
"X52.2017",2015.82231604053,45,20,1
"X6.2017",30.5366627724501,45,20,1
"X93.2017",223.614565516467,45,20,1
"X1.2016",24.4416714011309,40,24,1
"X15.2016",48.3577947316686,40,24,1
"X15.2017",132.090942293645,40,24,1
"X17.2016",52.2754085416748,40,24,1
"X17.2017",181.178656047296,40,24,1
"X19.2016",86.5605545485425,40,24,1
"X19.2017",81.3065317681242,40,24,1
"X21.2016",172.438902866831,40,24,1
"X21.2017",183.682736790845,40,24,1
"X22.2016",520.005285592008,40,24,1
"X22.2017",178.222952755231,40,24,1
"X24.2017",50.3680457234011,40,24,1
"X32.2016",251.097784596588,40,24,1
"X32.2017",530.810717967815,40,24,1
"X36.2016",354.123392588894,40,24,1
"X4.2016",120.555570545623,40,24,1
"X4.2017",98.8787886986085,40,24,1
"X44.2017",794.379055996363,40,24,1
"X5.2016",18.0457133925652,40,24,1
"X5.2017",253.153413673934,40,24,1
"X52.2016",87.1535950706031,40,24,1
"X52.2017",2093.89012357737,40,24,1
"X6.2017",28.6511511511512,40,24,1
"X93.2017",369.558838116454,40,24,1
"X1.2016",24.4416714011309,35,26,1
"X15.2016",63.1669381604458,35,26,1
"X15.2017",125.07903546588,35,26,1
"X17.2016",56.3170428123988,35,26,1
"X17.2017",236.454485015546,35,26,1
"X19.2016",52.1041562082603,35,26,1
"X19.2017",39.179006286956,35,26,1
"X20.2016",121.744086414968,35,26,1
"X21.2016",41.6833249666083,35,26,1
"X21.2017",315.182707597025,35,26,1
"X22.2016",520.005285592008,35,26,1
"X22.2017",217.999621242864,35,26,1
"X24.2017",48.2216801385971,35,26,1
"X32.2016",152.650586009065,35,26,1
"X32.2017",518.335730471509,35,26,1
"X36.2016",336.114966370583,35,26,1
"X4.2016",120.555570545623,35,26,1
"X4.2017",98.8787886986085,35,26,1
"X44.2017",794.379055996363,35,26,1
"X5.2016",26.8821474298337,35,26,1
"X5.2017",304.707951194438,35,26,1
"X52.2016",80.6516602002565,35,26,1
"X52.2017",1781.61889343001,35,26,1
"X6.2016",111.912821206313,35,26,1
"X6.2017",21.8447476576948,35,26,1
"X93.2017",287.379972511629,35,26,1
"X1.2016",23.0539323106891,30,27,1
"X15.2016",50.965560115795,30,27,1
"X15.2017",105.614591090666,30,27,1
"X17.2016",54.4457846234623,30,27,1
"X17.2017",162.582189296404,30,27,1
"X19.2016",86.5605545485425,30,27,1
"X19.2017",114.300486688523,30,27,1
"X2.2016",584.082290498707,30,27,1
"X20.2016",133.560587681359,30,27,1
"X21.2016",139.327996665334,30,27,1
"X21.2017",293.197955338659,30,27,1
"X22.2016",443.853883936275,30,27,1
"X22.2017",178.579480381282,30,27,1
"X24.2017",56.7355969583197,30,27,1
"X32.2016",148.171194210277,30,27,1
"X32.2017",492.138256729266,30,27,1
"X36.2016",272.732128969672,30,27,1
"X4.2016",120.555570545623,30,27,1
"X4.2017",70.5324243162081,30,27,1
"X44.2017",658.151136425711,30,27,1
"X5.2016",17.1136000974947,30,27,1
"X5.2017",162.608644733876,30,27,1
"X52.2016",49.7906014046999,30,27,1
"X52.2017",2093.89012357737,30,27,1
"X6.2016",111.912821206313,30,27,1
"X6.2017",27.0450806403507,30,27,1
"X93.2017",287.38125512827,30,27,1
"X1.2016",19.719043367692,25,27,1
"X15.2016",64.737440169296,25,27,1
"X15.2017",119.544970395821,25,27,1
"X17.2016",31.4554418909171,25,27,1
"X17.2017",257.9216478741,25,27,1
"X19.2016",76.101326551777,25,27,1
"X19.2017",39.179006286956,25,27,1
"X2.2016",584.082290498707,25,27,1
"X20.2016",115.375194952626,25,27,1
"X21.2016",55.5073241409578,25,27,1
"X21.2017",138.897185473762,25,27,1
"X22.2016",437.462497657588,25,27,1
"X22.2017",194.992289586884,25,27,1
"X24.2017",78.8075362649937,25,27,1
"X32.2016",152.650586009065,25,27,1
"X32.2017",205.594513503598,25,27,1
"X36.2016",221.620499343878,25,27,1
"X4.2016",88.841857344548,25,27,1
"X4.2017",76.2854170486803,25,27,1
"X44.2017",660.51781511241,25,27,1
"X5.2016",18.9405421558329,25,27,1
"X5.2017",185.13883252622,25,27,1
"X52.2016",54.8696844993141,25,27,1
"X52.2017",1773.27790283111,25,27,1
"X6.2016",69.0239538797675,25,27,1
"X6.2017",18.0360540720901,25,27,1
"X93.2017",193.415059305363,25,27,1
"X1.2016",20.7685162640118,20,28,1
"X15.2016",28.9578868157447,20,28,1
"X15.2017",67.7744811878946,20,28,1
"X17.2016",27.5899974048122,20,28,1
"X17.2017",165.181397715747,20,28,1
"X19.2016",39.5182469757044,20,28,1
"X19.2017",32.3775327001594,20,28,1
"X2.2016",575.480194909624,20,28,1
"X20.2016",116.276276334359,20,28,1
"X21.2016",55.5073241409578,20,28,1
"X21.2017",153.070367664962,20,28,1
"X22.2016",262.629949814366,20,28,1
"X22.2017",119.112513371937,20,28,1
"X24.2017",87.8120362604847,20,28,1
"X29.2016",317.771081863922,20,28,1
"X32.2016",30.8349290231172,20,28,1
"X32.2017",450.971086251312,20,28,1
"X36.2016",192.03672145594,20,28,1
"X4.2016",97.9198192648856,20,28,1
"X4.2017",69.1984777570363,20,28,1
"X44.2017",500.637604422145,20,28,1
"X5.2016",25.0552053714955,20,28,1
"X5.2017",91.7629116086085,20,28,1
"X52.2016",47.9977299549422,20,28,1
"X52.2017",1714.70362982701,20,28,1
"X6.2016",111.912821206313,20,28,1
"X6.2017",26.242045348652,20,28,1
"X93.2017",368.597696794955,20,28,1
"X1.2016",20.2575323153587,15,28,1
"X15.2016",28.3572160749338,15,28,1
"X15.2017",100.200300400501,15,28,1
"X17.2016",35.8292125959794,15,28,1
"X17.2017",56.0699588477366,15,28,1
"X19.2016",38.3350617885152,15,28,1
"X19.2017",62.8035443163979,15,28,1
"X2.2016",584.082290498707,15,28,1
"X20.2016",17.1570569568568,15,28,1
"X21.2016",30.5743982465544,15,28,1
"X21.2017",116.605389172957,15,28,1
"X22.2016",287.199571958766,15,28,1
"X22.2017",117.82023014005,15,28,1
"X24.2017",47.9276823800577,15,28,1
"X29.2016",317.771081863922,15,28,1
"X32.2016",153.075766055487,15,28,1
"X32.2017",140.445751042666,15,28,1
"X36.2016",196.287691615592,15,28,1
"X4.2016",107.173399679388,15,28,1
"X4.2017",41.3667346024703,15,28,1
"X44.2017",195.730014298583,15,28,1
"X5.2016",14.9883817847339,15,28,1
"X5.2017",212.838584330076,15,28,1
"X52.2016",43.4273913952479,15,28,1
"X52.2017",1254.66119255635,15,28,1
"X6.2016",97.7139626910947,15,28,1
"X6.2017",28.8437987381565,15,28,1
"X93.2017",286.42011380677,15,28,1
"X1.2016",10.9009009009009,10,29,1
"X15.2016",32.1743840755729,10,29,1
"X15.2017",39.1717843970096,10,29,1
"X17.2016",30.0089679268858,10,29,1
"X17.2017",117.399802135125,10,29,1
"X19.2016",47.4001929857786,10,29,1
"X19.2017",17.4886548403979,10,29,1
"X2.2016",151.802410518627,10,29,1
"X20.2016",19.8519916312709,10,29,1
"X21.2016",28.6435083732381,10,29,1
"X21.2017",78.4084835873844,10,29,1
"X22.2016",243.588182777372,10,29,1
"X22.2017",76.5428491554618,10,29,1
"X24.2016",39.2825258107853,10,29,1
"X24.2017",22.5,10,29,1
"X29.2016",8.52335819302786,10,29,1
"X32.2016",148.171194210277,10,29,1
"X32.2017",144.95738979049,10,29,1
"X36.2016",211.717342921242,10,29,1
"X4.2016",7.10941922903885,10,29,1
"X4.2017",17.6990604217831,10,29,1
"X44.2017",161.954684915145,10,29,1
"X5.2016",14.0731322140014,10,29,1
"X5.2017",39.775947135703,10,29,1
"X52.2016",60.9123313017692,10,29,1
"X52.2017",1079.00862559846,10,29,1
"X6.2016",97.7139626910947,10,29,1
"X6.2017",4.66055646357749,10,29,1
"X93.2017",338.024060193864,10,29,1
"X1.2016",15.0054784514244,5,33,1
"X15.2016",6.68248829409991,5,33,1
"X15.2017",18.0071863655447,5,33,1
"X17.2016",51.8319420521623,5,33,1
"X17.2017",42.6988249510772,5,33,1
"X19.2016",9.19405892378865,5,33,1
"X19.2017",44.4722424772819,5,33,1
"X2.2016",151.802410518627,5,33,1
"X20.2016",7.65198381564748,5,33,1
"X21.2016",9.85115746265317,5,33,1
"X21.2017",55.4653126898958,5,33,1
"X22.2016",160.624648679649,5,33,1
"X22.2017",35.3981208788604,5,33,1
"X24.2016",24.0138787149817,5,33,1
"X24.2017",15.3295813330848,5,33,1
"X29.2016",28.9794449103758,5,33,1
"X30.2016",23.9512385258131,5,33,1
"X32.2016",52.2475528532796,5,33,1
"X32.2017",154.632610588567,5,33,1
"X36.2016",66.0019578789218,5,33,1
"X36.2017",119.054469857964,5,33,1
"X4.2016",47.1463580946485,5,33,1
"X4.2017",8.4669253838423,5,33,1
"X44.2017",256.365975585195,5,33,1
"X5.2016",14.2993443850588,5,33,1
"X5.2017",45.4831608416752,5,33,1
"X52.2016",42.4461423385347,5,33,1
"X52.2017",469.517535552374,5,33,1
"X6.2016",16.8536905273642,5,33,1
"X6.2017",5.95620393733143,5,33,1
"X76.2016",21.7452011571131,5,33,1
"X91.2017",4.33933933933934,5,33,1
"X93.2017",75.2360919106967,5,33,1
"X93.2017",369.558838116454,110,1,2
"X93.2017",369.558838116454,105,1,2
"X21.2016",174.895215535856,100,2,2
"X93.2017",369.558838116454,100,2,2
"X17.2017",342.592592592593,95,3,2
"X21.2016",174.895215535856,95,3,2
"X93.2017",339.238517895159,95,3,2
"X17.2017",342.592592592593,90,3,2
"X21.2016",174.895215535856,90,3,2
"X93.2017",369.558838116454,90,3,2
"X17.2017",339.163237248211,85,4,2
"X21.2016",174.895215535856,85,4,2
"X5.2016",29.7662527037416,85,4,2
"X93.2017",369.558838116454,85,4,2
"X17.2017",342.592592592593,80,4,2
"X21.2016",174.895215535856,80,4,2
"X5.2016",29.7662527037416,80,4,2
"X93.2017",369.558838116454,80,4,2
"X17.2017",342.592592592593,75,4,2
"X21.2016",139.61973985998,75,4,2
"X5.2016",29.7662527037416,75,4,2
"X93.2017",369.558838116454,75,4,2
"X17.2017",279.073117161205,70,6,2
"X19.2017",89.8405913869707,70,6,2
"X21.2016",139.61973985998,70,6,2
"X5.2016",29.7662527037416,70,6,2
"X52.2017",2093.89012357737,70,6,2
"X93.2017",368.597696794955,70,6,2
"X17.2017",309.379700020341,65,8,2
"X19.2017",102.326042222069,65,8,2
"X21.2016",55.5073241409578,65,8,2
"X22.2016",520.005285592008,65,8,2
"X24.2017",92.0222023825627,65,8,2
"X5.2016",26.8821474298337,65,8,2
"X52.2017",2093.89012357737,65,8,2
"X93.2017",369.558838116454,65,8,2
"X15.2016",65.6907358076658,60,12,2
"X17.2016",56.3170428123988,60,12,2
"X17.2017",305.841855368882,60,12,2
"X19.2017",81.3065317681242,60,12,2
"X21.2016",140.078416755093,60,12,2
"X22.2016",520.005285592008,60,12,2
"X24.2017",92.0222023825627,60,12,2
"X32.2017",530.810717967815,60,12,2
"X36.2016",354.123392588894,60,12,2
"X5.2016",24.698685142215,60,12,2
"X52.2017",2093.89012357737,60,12,2
"X93.2017",369.558838116454,60,12,2
"X15.2016",65.6907358076658,55,18,2
"X15.2017",138.155588020453,55,18,2
"X17.2016",56.3170428123988,55,18,2
"X17.2017",289.094650205761,55,18,2
"X19.2016",86.5605545485425,55,18,2
"X19.2017",81.3065317681242,55,18,2
"X21.2016",172.438902866831,55,18,2
"X22.2016",443.853883936275,55,18,2
"X22.2017",217.999621242864,55,18,2
"X24.2017",89.0654844033222,55,18,2
"X32.2016",251.097784596588,55,18,2
"X32.2017",530.810717967815,55,18,2
"X36.2016",354.123392588894,55,18,2
"X5.2016",24.698685142215,55,18,2
"X5.2017",304.707951194438,55,18,2
"X52.2017",2093.89012357737,55,18,2
"X6.2017",30.5366627724501,55,18,2
"X93.2017",286.42011380677,55,18,2
"X15.2016",65.6907358076658,50,20,2
"X15.2017",138.155588020453,50,20,2
"X17.2016",54.4457846234623,50,20,2
"X17.2017",214.480065716672,50,20,2
"X19.2016",86.5605545485425,50,20,2
"X19.2017",89.8405913869707,50,20,2
"X21.2016",139.61973985998,50,20,2
"X21.2017",315.182707597025,50,20,2
"X22.2016",520.005285592008,50,20,2
"X22.2017",217.999621242864,50,20,2
"X24.2017",62.602329556784,50,20,2
"X32.2016",251.097784596588,50,20,2
"X32.2017",530.810717967815,50,20,2
"X36.2016",354.123392588894,50,20,2
"X5.2016",24.698685142215,50,20,2
"X5.2017",304.707951194438,50,20,2
"X52.2016",84.1101361951217,50,20,2
"X52.2017",2093.89012357737,50,20,2
"X6.2017",30.5366627724501,50,20,2
"X93.2017",368.597696794955,50,20,2
"X15.2016",65.6907358076658,45,20,2
"X15.2017",138.155588020453,45,20,2
"X17.2016",52.2754085416748,45,20,2
"X17.2017",242.389777164552,45,20,2
"X19.2016",86.5605545485425,45,20,2
"X19.2017",97.7328680292666,45,20,2
"X21.2016",81.1218200182164,45,20,2
"X21.2017",313.441772738336,45,20,2
"X22.2016",520.005285592008,45,20,2
"X22.2017",208.489570651733,45,20,2
"X24.2017",63.4608757907056,45,20,2
"X32.2016",251.097784596588,45,20,2
"X32.2017",518.335730471509,45,20,2
"X36.2016",206.984041056143,45,20,2
"X5.2016",26.8821474298337,45,20,2
"X5.2017",304.707951194438,45,20,2
"X52.2016",81.7583725186134,45,20,2
"X52.2017",2093.89012357737,45,20,2
"X6.2017",30.5366627724501,45,20,2
"X93.2017",368.597696794955,45,20,2
"X1.2016",24.4416714011309,40,24,2
"X15.2016",65.6907358076658,40,24,2
"X15.2017",109.690253316379,40,24,2
"X17.2016",46.2048585051845,40,24,2
"X17.2017",266.306426546667,40,24,2
"X19.2016",77.5976777578379,40,24,2
"X19.2017",81.3065317681242,40,24,2
"X21.2016",159.551483415347,40,24,2
"X21.2017",313.441772738336,40,24,2
"X22.2016",520.005285592008,40,24,2
"X22.2017",194.212320507888,40,24,2
"X24.2017",90.8192977762547,40,24,2
"X32.2016",167.789661534817,40,24,2
"X32.2017",518.335730471509,40,24,2
"X36.2016",334.827169564566,40,24,2
"X4.2016",108.963407903782,40,24,2
"X4.2017",98.8787886986085,40,24,2
"X44.2017",794.379055996363,40,24,2
"X5.2016",29.7662527037416,40,24,2
"X5.2017",296.041627212798,40,24,2
"X52.2016",52.669278399619,40,24,2
"X52.2017",911.955008061114,40,24,2
"X6.2017",28.8437987381565,40,24,2
"X93.2017",368.597696794955,40,24,2
"X1.2016",24.4416714011309,35,26,2
"X15.2016",55.8977897044122,35,26,2
"X15.2017",128.392987582177,35,26,2
