"ID","Asym"
"X29.2016",342.756
"X2.2016",582.589
"X6.2016",111.406
"X20.2016",141.208
"X44.2017",809.206
"X4.2017",104.14
"X4.2016",117.698
"X1.2016",24.077
"X52.2016",83.598
"X21.2017",328.242
"X6.2017",30.349
"X5.2017",301.955
"X32.2016",252.943
"X22.2017",210.517
"X19.2016",85.75
"X15.2017",131.87
"X36.2016",344.407
"X32.2017",526.431
"X17.2016",55.642
"X15.2016",64.235
"X24.2017",88.822
"X22.2016",511.89
"X52.2017",2071.341
"X19.2017",118.978
"X5.2016",28.573
"X17.2017",330.794
"X21.2016",173.204
"X93.2017",362.108
