"NestID","MaleID","LocationX","LocationY","Year"
2,100,475815,6374573,2016
3,2,475923,6374613,2016
4,4,469270,6371180,2016
5,27,479336,6377319,2016
6,18,479500,6377963,2016
7,19,481076,6377959,2016
8,1,476519,6374608,2016
9,52,481500,6377694,2016
10,15,479013,6377676,2016
11,24,480983,6377219,2016
12,22,480980,6377754,2016
13,28,470887,6372836,2016
14,36,471080,6373012,2016
15,17,478860,6377315,2016
16,102,481408,6377682,2016
17,21,481546,6377835,2016
18,103,480975,6377387,2016
19,29,471481,6372316,2016
20,32,471151,6372513,2016
21,20,481442,6378199,2016
22,104,477672,6377501,2016
23,101,471168,6373056,2016
24,105,469117,6370578,2016
25,131,477818,6377189,2016
26,107,478949,6376634,2016
27,22,480950,6377875,2016
31,75,479023,6378064,2016
32,44,479150,6378142,2017
33,95,469630,6371134,2017
34,4,469225,6371357,2017
35,24,480940,6377213,2017
36,19,481077,6377981,2017
37,97,481254,6377670,2017
38,103,480943,6377390,2017
39,99,480769,6377293,2017
40,93,476136,6373903,2017
41,130,477865,6377306,2017
42,27,479325,6377332,2017
43,138,479460,6377824,2017
44,32,471171,6372541,2017
45,112,477121,6373797,2017
46,20,481443,6378276,2017
47,139,481584,6378486,2017
48,140,481414,6377842,2017
49,141,481797,6378614,2017
50,142,473755,6374475,2017
51,143,473915,6374540,2017
52,107,478993,6376628,2017
53,5,469258,6370960,2017
54,144,477878,6377385,2017
55,21,481601,6377872,2017
56,6,469519,6371319,2017
57,22,481039,6377686,2017
58,21,481562,6377742,2018
59,27,479330,6377336,2018
60,190,479562,6377683,2018
